name,url,locale,dates,Minimum Price,ticketLimit
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-13-2023/event/0D005D6AC480CE13,en-us,2023-04-13,49.0,8
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-14-2023/event/0D005D64A7A5C811,en-us,2023-04-14,49.0,8
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-15-2023/event/0D005D5CEB55AC65,en-us,2023-04-15,49.0,8
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-21-2023/event/3A005D69B5754232,en-us,2023-04-21,99.0,
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-23-2023/event/3A005D6A3DEF87BA,en-us,2023-04-23,99.0,
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-28-2023/event/0E005D5F947A6BA4,en-us,2023-04-28,99.0,6
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-30-2023/event/0E005D6AF1084D3B,en-us,2023-04-30,99.0,6
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-22-2023/event/3A005D5C9AA82C37,en-us,2023-04-22,109.0,
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-29-2023/event/0E005D5F94526B9F,en-us,2023-04-29,109.0,6
